acousticness,danceability,energy,valence,instrumentalness,loudness,tempo,popularity,key,mode,duration_ms,speechiness,liveness,explicit,year
0.955,0.247,0.038,0.136,0.714,-22.76,108.252,51,5,1,758267,0.036,0.108,0,2000
0.496,0.59,0.588,0.977,0,-4.131,172.963,48,9,1,160120,0.126,0.03,0,2000
0.086,0.661,0.645,0.833,0.086,-10.073,96.757,49,5,0,189320,0.057,0.1,0,2000
0.142,0.583,0.512,0.935,0,-10.217,143.025,58,11,0,177600,0.049,0.081,0,2000
0.236,0.658,0.809,0.648,0,-5.462,84.525,47,6,0,288227,0.302,0.389,1,2000
0.273,0.747,0.646,0.73,0,-9.185,87.011,47,7,1,259333,0.191,0.093,0,2000
0.044,0.877,0.781,0.873,0,-5.355,89.683,52,0,1,254707,0.063,0.087,1,2000
0.017,0.832,0.58,0.654,0,-9.464,80.943,0,7,1,251573,0.325,0.356,0,2000
0,0.3,0.956,0.271,0.016,-5.016,134.083,55,10,1,181507,0.185,0.532,1,2000
0.586,0.549,0.197,0.271,0,-9.686,84.028,49,1,1,251973,0.032,0.154,0,2000
0.017,0.879,0.681,0.817,0,-8.951,99.974,50,10,0,221160,0.24,0.067,1,2000
0.001,0.576,0.675,0.366,0.072,-9.088,114.863,51,2,1,197107,0.029,0.065,0,2000
0,0.291,0.735,0.19,0,-4.767,175.978,46,9,1,195467,0.042,0.081,0,2000
0,0.457,0.926,0.41,0,-5.461,93.964,51,0,1,202027,0.038,0.095,0,2000
0,0.456,0.847,0.299,0.044,-6.386,147.911,51,6,0,288360,0.034,0.084,0,2000
0.823,0.455,0.796,0.258,0.528,-7.29,86.999,50,5,0,261850,0.044,0.102,0,2000
0.148,0.63,0.729,0.64,0,-5.191,126.984,47,0,1,203314,0.033,0.292,0,2000
0.464,0.468,0.149,0.124,0,-13.976,97.965,50,5,0,430000,0.036,0.152,0,2000
0.003,0.469,0.926,0.56,0.004,-4.492,154.349,58,9,1,224320,0.046,0.33,0,2000
0.239,0.341,0.656,0.674,0,-7.889,171.429,42,1,1,205760,0.069,0.129,0,2000
0.175,0.761,0.627,0.891,0,-5.554,109.821,56,1,1,263227,0.054,0.128,0,2000
0.487,0.487,0.128,0.306,0,-14.654,132.2,48,2,1,296725,0.037,0.108,0,2000
0.384,0.401,0.783,0.456,0.003,-5.929,99.274,46,0,0,217493,0.046,0.468,0,2000
0.44,0.624,0.562,0.38,0,-6.504,120.043,56,9,0,289000,0.039,0.175,0,2000
0.174,0.627,0.479,0.695,0,-7.596,106.356,49,5,1,199440,0.043,0.16,0,2000
0.284,0.701,0.68,0.333,0,-6.209,96.862,44,4,0,170507,0.225,0.143,1,2000
0.257,0.894,0.564,0.956,0,-8.532,131.994,49,11,1,261520,0.046,0.045,0,2000
0.384,0.719,0.819,0.886,0,-5.199,91.367,47,9,0,241533,0.252,0.21,0,2000
0.01,0.742,0.528,0.082,0.099,-7.108,140.058,45,3,1,302600,0.042,0.295,1,2000
0.732,0.52,0.677,0.789,0,-6.077,175.256,4,6,1,151667,0.145,0.029,0,2000
